trade_date,name,open,high,low,close,volume,marketCap
2025-03-03T00:00:00.000Z,2787,686486.6525011480,687807.3971984890,619825.8145359220,626997.0003430240,510392098213.85600,12434355795573.200
2025-03-02T00:00:00.000Z,2787,626670.8927393960,692181.8831922850,619415.8900829210,686486.135555199,425361836849.03200,13615740124973.00
2025-03-01T00:00:00.000Z,2787,614562.3533115710,630211.1458234210,610254.8716879650,626639.2435224650,212618699113.03800,12427332430872.900
2025-02-28T00:00:00.000Z,2787,617064.5822084630,619387.5638403330,569761.6577016540,614556.1326385820,609087291202.7310,12189088688747.300
2025-02-27T00:00:00.000Z,2787,610398.0174449070,632408.6772120150,605806.6434037250,617167.6859401880,382308637583.19700,12194746161688.900
2025-02-26T00:00:00.000Z,2787,642463.5636638040,647709.2573374260,596277.6039048010,612359.3631815710,468209082738.4180,12112616151790.80
2025-02-25T00:00:00.000Z,2787,662682.1401153380,671315.9012329510,623748.9212343640,643168.6587215430,667769749472.2400,12752374416069.500
2025-02-24T00:00:00.000Z,2787,698111.5154437460,699746.5480509780,662271.5138647080,662608.0645590050,319381030317.0770,13144872158472.000
2025-02-23T00:00:00.000Z,2787,700196.5184830020,700967.7605045260,690806.0532961610,698082.1920822730,123247533236.98800,13840560838050.200
2025-02-22T00:00:00.000Z,2787,697173.7036135200,702985.60565807,694394.4831999280,700285.3489783670,133103552442.95700,13887233396840.400
2025-02-21T00:00:00.000Z,2787,713559.901795424,721835.3021559450,687778.8029555530,697006.3199425390,359960774143.0530,13828717711551.70
2025-02-20T00:00:00.000Z,2787,703853.1086624810,716654.7577451360,702469.1250005970,713511.052889723,230663544257.5840,14201933704419.600
2025-02-19T00:00:00.000Z,2787,695438.6210124880,705472.9248068170,691649.1300905710,703874.4795161170,211041958085.05000,13946967274803.800
2025-02-18T00:00:00.000Z,2787,695691.4238063330,704000.3719765450,679833.342891214,695489.6616137280,271130301011.80800,13758497382844.900
2025-02-17T00:00:00.000Z,2787,697682.4991166230,704832.4754496500,691839.5733933500,695594.9829622030,198299338702.58200,13773848836266.5
2025-02-16T00:00:00.000Z,2787,711342.2602520550,712400.0592199300,696826.3471313960,697653.6824200720,120549639487.43900,13900042212144.100
